# pfam_scan.pl,  run at Fri Jul  1 10:31:31 2022
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jaina@ebi.ac.uk), 
#          Rob Finn (rdf@ebi.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /home/huangbiaosheng/Lepidoptera/N/Cnaphalocrocis_medinalis.anno.pep.fa
#        searching against: /home/huangbiaosheng/PfamScan/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

Cmed074830.1     23    139     23    140 PF14529.9   Exo_endo_phos_2   Domain     1   118   119     70.2   1.5e-19   1 CL0530   
Cmed074830.1    346    532    346    535 PF00078.30  RVT_1             Domain     1   180   222    113.4   1.1e-32   1 CL0027   
Cmed003550.1      7    421      2    426 PF04184.15  ST7               Repeat    37   460   532    520.8  3.9e-156   1 CL0020   
Cmed003570.1     97    274     97    276 PF00719.22  Pyrophosphatase   Domain     1   155   160    170.1   3.3e-50   1 No_clan  
Cmed048520.1     23    204     22    206 PF03371.18  PRP38             Family     2   171   174    152.7     1e-44   1 No_clan  
Cmed048540.1     59    302     58    303 PF10609.12  ParA              Family     2   245   246    282.1   3.7e-84   1 CL0023   
Cmed048560.1     16    196     16    263 PF10240.12  DUF2464           Family     1   184   255    163.3   8.3e-48   1 No_clan  
Cmed021310.1    283    647    260    653 PF01660.20  Vmethyltransf     Family    23   340   346    126.7     1e-36   1 CL0696   
Cmed082080.1      7    130      4    131 PF01217.23  Clat_adaptor_s    Domain    24   141   142    133.6   5.1e-39   1 CL0431   
Cmed082100.1      2    101      1    107 PF00337.25  Gal-bind_lectin   Domain    30   128   134     35.8   5.6e-09   1 CL0004   
