# pfam_scan.pl,  run at Thu Jul  7 07:19:16 2022
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jaina@ebi.ac.uk), 
#          Rob Finn (rdf@ebi.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /home/huangbiaosheng/Lepidoptera/D/Hyposmocoma_kahamanoa.anno.pep.fa
#        searching against: /home/huangbiaosheng/PfamScan/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

Hkah000002.1     40    253     31    254 PF09749.12  HVSL              Family     9   242   243    186.1   7.4e-55   1 CL0247   
Hkah000006.1     77    160     76    167 PF07686.20  V-set             Domain     2    94   109     38.7     1e-09   1 CL0011   
Hkah000006.1    188    259    173    259 PF13927.9   Ig_3              Domain    15    79    79     42.4   8.2e-11   1 CL0011   
Hkah000008.1      4    159      2    162 PF01723.19  Chorion_1         Family     3   168   169     66.0   4.4e-18   1 No_clan  
Hkah000011.1    116    179    115    181 PF01363.24  FYVE              Domain     2    67    69     59.8   2.2e-16   1 CL0390   
Hkah000010.1      3    194      3    196 PF03665.16  UPF0172           Family     1   191   193    201.3   1.6e-59   1 CL0366   
Hkah000012.1      2    373      1    409 PF10191.12  COG7              Family    48   419   772    172.2   1.7e-50   1 CL0294   
Hkah000012.1    487    562    459    567 PF10191.12  COG7              Family   574   652   772     61.7   4.6e-17   1 CL0294   
Hkah000012.1    568    631    561    636 PF10191.12  COG7              Family   685   748   772     35.1   5.1e-09   1 CL0294   
Hkah000013.1    112    219    111    222 PF16909.8   VPS13_C           Family     2   118   176     66.9     2e-18   1 No_clan  
Hkah000014.1     19    267      6    269 PF00389.33  2-Hacid_dh        Domain    61   131   134     56.2   3.1e-15   1 CL0325   
Hkah000014.1     61    238     61    238 PF02826.22  2-Hacid_dh_C      Domain     1   178   178    199.4   3.1e-59   1 CL0063   
Hkah000015.1     47    361     41    362 PF00389.33  2-Hacid_dh        Domain     6   133   134     92.5   1.7e-26   1 CL0325   
Hkah000015.1    153    330    153    330 PF02826.22  2-Hacid_dh_C      Domain     1   178   178    197.4   1.3e-58   1 CL0063   
Hkah000016.1      3    120      3    121 PF08923.13  MAPKK1_Int        Domain     1   118   119    159.3   3.4e-47   1 CL0431   
Hkah000017.1     17     89     12     89 PF01369.23  Sec7              Domain   114   183   183     78.3   6.2e-22   1 No_clan  
Hkah000019.1    221    368    221    368 PF13897.9   GOLD_2            Domain     1   133   133    209.2     3e-62   1 CL0521   
Hkah000018.1    121    391    119    394 PF00664.26  ABC_membrane      Family     3   270   274    211.9   1.5e-62   1 CL0241   
Hkah000018.1    456    613    456    613 PF00005.30  ABC_tran          Domain     1   137   137    121.4   4.1e-35   1 CL0023   
Hkah000020.1     10    209      2    210 PF00501.31  AMP-binding       Family   214   423   424    133.9   6.2e-39   1 CL0378   
